Codigo;Cod Barras;Nome;Venda;
70072;7899050502304;GUARDA CHUVA AUTOMATICO 27X8;0,00;
552400;6920897732492;GUARDA CHUVA AUTOMATICO 7105 HL;25,90;
549563;6920897722820;GUARDA CHUVA AUTOMATICO 7250G HLJW;19,90;
450034;7898452496747;GUARDA CHUVA AUTOMATICO 9376 YAZI;16,90;
110594;7899206418480;GUARDA CHUVA AUTOMATICO YBCI1848;8,90;
546669;7898484050092;GUARDA CHUVA BALONE FK1014;24,90;
570303;7899806917888;GUARDA CHUVA BENGALA CO20042 YINS;26,90;
570299;7899806917857;GUARDA CHUVA BENGALA CO20039 YINS;28,90;
570301;7899806917864;GUARDA CHUVA BENGALA CO20040 YINS;39,90;
582288;6920897730481;GUARDA CHUVA BENGALA FLORIDO 7168 HL;19,90;
586460;7899790933277;GUARDA CHUVA BENGALA PRETO AUTOMA TICO EM;0,00;
548263;7898452499847;GUARDA CHUVA DALMATAS;0,00;
546667;7898484050047;GUARDA CHUVA ESTILO FK1002;12,90;
566199;7897684808625;GUARDA CHUVA FEM LONGO C COPINHO 495;21,90;
351256;7810540165502;GUARDA CHUVA FEMININO 16550;12,90;
190220;7898484058814;GUARDA CHUVA FK5881;0,00;
51279;7810558165501;GUARDA CHUVA FLORIDO 16550;0,00;
557245;7898516926739;GUARDA CHUVA HOMEM ARANHA BGLA15;29,90;
281997;7899206418466;GUARDA CHUVA ICE1846;0,00;
549565;6920897731631;GUARDA CHUVA INF 70HD HLJW;21,90;
549568;6920897731617;GUARDA CHUVA INF 70YZ HLJW;24,90;
552432;6920897732607;GUARDA CHUVA INF 70ZQ HLJW;19,90;
562381;7898516926746;GUARDA CHUVA INF AVENGERS 13379;0,00;
554646;6920897731624;GUARDA CHUVA INF CACHORRO 70-BD UMBRELLA;21,90;
560680;7898420977353;GUARDA CHUVA INF MASC DEC 1001 YANGZY;24,90;
552441;7897684825776;GUARDA CHUVA INF PEPPA PIG 142 JM IMPORT;29,90;
554645;6920897731587;GUARDA CHUVA INF PRINCESA 70-TS UMBRELLA;21,90;
31257;7912103001149;GUARDA CHUVA INFANTIL 114A;9,90;
566197;7897684825745;GUARDA CHUVA INFANTIL BOB ESPONJA 112 JM;16,90;
570306;7899806919936;GUARDA CHUVA INFANTIL DESENHOS CO20044 YIN;16,90;
570309;7899806919943;GUARDA CHUVA INFANTIL DESENHOS CO20045 YINS;16,90;
566198;7897684825769;GUARDA CHUVA INFANTIL DORA AVENTUREIRA;16,90;
450058;7898420981381;GUARDA CHUVA LONGO 1091 YANGZI;24,90;
549570;6920897702853;GUARDA CHUVA LONGO 7500M HLJW;16,90;
569284;6920897732423;GUARDA CHUVA LONGO GM3202 UMBRELLAS;18,90;
574087;7897186090788;GUARDA CHUVA MICKEY 50CM DY256 ETILUX;34,90;
586529;7908459314354;GUARDA CHUVA MINI LM 23357 720 YANGZI;26,90;
574086;7897186090795;GUARDA CHUVA MINNIE 50CM DYH257 ETILUX;34,90;
2727;7898516912473;GUARDA CHUVA PATATI PATATA 11946;24,90;
24945;7898488050746;GUARDA CHUVA PESQUISA;0,00;
546673;7898484097509;GUARDA CHUVA POA COLLEC FK9750;24,90;
560736;7898589335445;GUARDA CHUVA PORT C RETO PR RN544;0,00;
549129;8015831020457;GUARDA CHUVA PORTARIA;0,00;
25690;6920897718380;GUARDA CHUVA PORTARIA 7220HL/MIZU;0,00;
563089;7898516925701;GUARDA CHUVA PORTARIA PRETO 13264 YANGZI;34,90;
140317;6926168008891;GUARDA CHUVA PORTARIA PRETO 8120;13,90;
586458;7899790933222;GUARDA CHUVA PORTARIA PRETO CA50007;29,90;
25706;7899206419890;GUARDA CHUVA PORTARIA XADREZ 1989;13,90;
140324;6926168008907;GUARDA CHUVA PORTARIA XADREZ 8122;13,90;
110464;7899206418428;GUARDA CHUVA PORTARIA YBCI1842;0,00;
110471;7899206418442;GUARDA CHUVA PORTARIA YBCI1844;0,00;
450041;7898420977315;GUARDA CHUVA PQ 1040 YANGZI;19,90;
381895;266846713683;GUARDA CHUVA PR 3008;7,99;
